variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Bio	supp_QC	supp_Blanc	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval	supp_redund_samp_mean	supp_redund_is	supp_redund_repres	supp_redund_relative
M658.0254T273_1	c18hyper	M658.0254T273_1	658.025441128837	272.840493271381			3734	NA															658.022095353289	658.027162094476	272.022788886255	273.423438382332	47	33	14	0	0.00018932036515579	0.170489527881214	0.393596601266779	0.948113896195975	2.71377595105146e-06	5292.28845748723	0		
M658.3449T265	c18hyper	M658.3449T265	658.344895668344	265.097928973591			3193	NA															658.341513864238	658.347022931883	264.366429893072	282.392311764336	57	37	20	0	4.76638720973022e-05	0.145673238101024	0.172883065204928	0.96853890209546	2.30255606864711e-07	21000.3213200208	0		
M658.3603T273_2	c18hyper	M658.3603T273_2	658.360281043754	272.831317946481		[M+H]+ 657.357	95	NA															658.356538980274	658.362018939565	271.820394930318	273.801852733882	50	35	15	0	0.000163405195057454	0.164754787089649	0.390317603689762	0.956643847906286	1.12165766144179e-06	6137.7003622382	0		
M658.6794T265_1	c18hyper	M658.6794T265_1	658.679396241872	264.930580856494			3194	NA															658.676074898213	658.682381687902	264.33393062922	265.473891170541	57	36	21	0	4.6908972433649e-05	0.0839060074057333	0.104101304017678	0.992836034181324	1.46833634638069e-10	21327.967056789	0		
M659.5151T356_1	c18hyper	M659.5151T356_1	659.515055616232	356.073529986664			82	NA															659.510382491492	659.516661100545	354.926230188018	371.822515971938	44	31	13	0	0.000100189263034625	0.179764559578	0.348427512152963	0.926046589133642	1.53725476992235e-05	9942.47664411253	0		
M659.8263T371_3	c18hyper	M659.8263T371_3	659.826317250854	371.189494590565		[M+K+NH3]+ 603.826	75	NA															659.822121477973	659.827894131119	370.171206288407	372.644058444701	51	38	13	0	0.00328385221944333	0.222772352278382	0.875166537794486	0.958033592046543	9.55296471434362e-07	25786.3220185458	0		
M659.9037T371_4	c18hyper	M659.9037T371_4	659.903734004677	371.471779648594		[M+H]+ 658.895	75	NA															659.899014427445	659.907175157094	369.711466448651	372.503439317394	55	39	16	0	0.00262093766737288	0.187839728375644	0.748811290436243	0.936827370472162	7.1221561966731e-06	22187.9492520497	0		
M660.4896T298	c18hyper	M660.4896T298	660.489572927927	298.212721819749	[1787][M]+		80	NA															660.486055326839	660.492061938123	297.404557336316	299.157819697438	63	42	21	0	6.88075690867876e-06	0.080071472077646	0.272996927480429	0.969311853209415	2.03591822414901e-07	145193.087412343	0		
M660.633T298_1	c18hyper	M660.633T298_1	660.6330422728	298.308769090309		[M+K]+ 621.664 [M+Na]+ 637.638 [M+H]+ 659.63	8	NA															660.629690387661	660.635358014092	297.169225886843	298.924254352731	63	42	21	0	0.00052487142451635	0.099537541786088	0.320967951821557	0.962663205988868	5.36681491340209e-07	413850.093790309	0		
M660.7762T298_2	c18hyper	M660.7762T298_2	660.776151132573	298.326244008374		[M+H-H20]+ 677.778	8	NA															660.772905833258	660.778425182936	297.429000687351	298.876476245355	63	42	21	0	8.09356110631976e-05	0.0866484750376352	0.289866896029275	0.949436527104752	2.39044920603898e-06	561300.394557114	0		
