variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M92.0429T0.72_5	c18acqui			0.167753706759566	0.597034106828759	0	0.0389862275124564	0.704971991854254	0	-0.0554042316926306	0.974330332819913	0	-0.0238863814035	0.91051725498954	0	2.52606342368225	0.778554370616163	E	E	E	E	E	E	0	0	4		M92T43_5	92.0429000299248	43.1790911213774			14	2	@M74.0324T0.72_4|+(H2O)|@M91.5423T0.72_2|+13Cdb|@M92.5413T0.72_2|-13Cdb|@M128.0193T0.72_3|-(HCl)
M92.5413T0.72_2	c18acqui			0.158326231107296	0.593188624326391	0	0.0415483815835849	0.662865411093282	0	-0.0604633903337195	0.966614363565369	0	-0.0161803345156812	0.943416537027678	0	2.62427570035286	0.883698531586985	E	E	E	E	E	E	0	0	4		M93T43_2	92.5413080366651	43.1777953780273			14	2	@M74.5305T0.72_2|+(H2O)|@M91.5423T0.72_2|+13C|+15N|@M92.0429T0.72_5|+13Cdb
M111.0098T0.72_3	c18acqui			0.118994892842462	0.798414427695647	0	0.0541755792246121	0.678677943916717	0	-0.0829136283830501	0.94777135362595	0	-0.0304494130806816	0.890273408226603	0	1.75114292047849	0.944854419483193	E	E	E	E	E	E	0	0	4		M111T43_3	111.00979522276	43.1592590606903		[M+2H-CO]2+ 247.991 [M+2H-CO]2+ 247.991	14	2	@M67.0213T0.72|+(CO2)|@M112.0061T0.72_2|-15N|@M129.0204T0.72_4|-(H2O)|@M152.0366T0.72_3|-(CH3CN)|-(C2H3N)|@M153.0329T0.72_2|-(CH2N2)
M112.0061T0.72_2	c18acqui			0.128418130727056	0.763338837694751	0	0.0560785466633362	0.628079427743816	0	-0.0823595216048503	0.94777135362595	0	-0.0332026002824506	0.875132239078378	0	2.02065101617244	0.932001932866511	E	E	E	E	E	E	0	0	4		M112T43_2	112.006112639592	43.1591901605617	[131][M]+		14	2	@M111.0098T0.72_3|+15N|@M153.0329T0.72_2|-(CH3CN)|-(C2H3N)
M128.0193T0.72_3	c18acqui			0.137433787264499	0.763338837694751	0	0.058042442208599	0.630061450881953	0	-0.0741649241080928	0.956935334102518	0	-0.0162211690378662	0.951612663284385	0	2.03533723993511	0.945384657615997	E	E	E	E	E	E	0	0	4		M128T43_3	128.019313654178	43.1940504210335			14	2	@M82.0137T0.72_2|+(HCOOH)|+(H2O-CO)|@M92.0429T0.72_5|+(HCl)|@M129.0204T0.72_4|-13C|-15N|@M146.0301T0.72_3|-(H2O)|@M169.0458T0.72_2|-(CH3CN)|-(C2H3N)
M129.0204T0.72_4	c18acqui			0.138303055875721	0.763338837694751	0	0.047798412354112	0.703874543156907	0	-0.0654467736463502	0.966905446751008	0	-0.00720003928255153	0.982480276819653	0	2.02516144796661	0.878968706757032	E	E	E	E	E	E	0	0	4		M129T43_4	129.020420702959	43.1640469715789		[2M+H]+ 64.009	14	2	@M111.0098T0.72_3|+(H2O)|@M128.0193T0.72_3|+13C|+15N|@M146.0191T0.72_2|-(OH.)
M146.0191T0.72_2	c18acqui			0.134528396903983	0.766805570757956	0	0.0136090117902299	0.893899659532047	0	-0.0964084484640075	0.927214491935989	0	-0.0602728615857906	0.750956550814317	0	2.10151625664636	0.993417040831931	E	E	E	E	E	E	0	0	4		M146T43_2	146.019105831035	43.215083088862			1121	2	@M129.0204T0.72_4|+(OH.)
M146.0301T0.72_3	c18acqui			0.134528396903983	0.766805570757956	0	0.0136090117902299	0.893899659532047	0	-0.0964084484640075	0.927214491935989	0	-0.0602728615857906	0.750956550814317	0	2.10151625664636	0.993417040831931	E	E	E	E	E	E	0	0	4		M146T43_3	146.030105063973	43.1728859959694			14	2	@M82.0137T0.72_2|+(H2O)+(HCOOH)|@M128.0193T0.72_3|+(H2O)|@M152.0366T0.72_3|-Li
M151.0352T0.72_3	c18acqui			0.13659104973522	0.731771696678808	0	0.0269544363361156	0.802355164815572	0	-0.053682037414049	0.974330332819913	0	-0.0562894187352114	0.742779348166152	0	2.16641794648161	0.688010397810191	E	E	E	E	E	E	0	0	4		M151T43_3	151.035194013338	43.1447668679848			14	2	@M71.0289T0.72_4|+2(H2O)+(CO2)|@M80.0342T0.72_3|+(C2HNO2)|@M152.0366T0.72_3|-13C|-15N|@M153.0329T0.72_2|-34S|-41K|-37Cl
M152.0366T0.72_3	c18acqui			0.114584041647493	0.800055697572617	0	0.083546640280538	0.499313340536683	0	-0.0991842449925606	0.927188560785889	0	-0.0195893595574503	0.94281888256074	0	1.83171362214127	1.0431713366481	E	E	E	E	E	E	0	0	4		M152T43_3	152.036633157559	43.1536459755301		[M+H]+ 151.032	14	2	@M111.0098T0.72_3|+(CH3CN)|+(C2H3N)|@M146.0301T0.72_3|+Li|@M151.0352T0.72_3|+13C|+15N|@M153.0329T0.72_2|-15N
