variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M728T311_1	M727.5882T311_1	727.588193063288	727.583886968469	727.590145151283	311.040284521324	309.959736464632	312.174329821221	40	29	11	0		[2M+H]+ 363.283	76													
M728T320	M727.6981T320	727.69810907474	727.694658706832	727.700448620458	320.245123913894	319.554525145473	320.921054837554	33	21	12	0		[3M+2K]2+ 459.163	16													
M728T278_1	M727.7175T278_1	727.717511431353	727.713597140108	727.719142035506	277.709357940524	276.877803639105	278.547561718598	59	40	19	0		[M+Na]+ 704.736	100													
M728T311_2	M727.7885T311_2	727.788541182128	727.785085557087	727.791365786687	311.252232615144	310.035447480812	312.424488932133	58	38	20	0		[3M+2K]2+ 459.231	76													
M728T311_3	M727.9889T311_3	727.988947943317	727.985130136698	727.992599881762	311.164423194421	310.035447480812	312.100641389947	59	39	20	0			76													
M728T943_2	M728.014T943_2	728.013993722596	728.010223961088	728.015088541743	942.818262531398	941.551327098781	943.87583962642	54	39	15	0			2712													
M728T278_2	M728.0515T278_2	728.05152442443	728.047991835136	728.053475837789	277.684578848349	276.877803639105	278.400748450755	45	29	16	0			100													
M728T51	M728.1713T51	728.171276626838	728.167920815193	728.173480750603	50.5825281675026	50.0024240694521	51.0826717748128	61	41	20	0	[1903][M]+		4													
M728T311_4	M728.1894T311_4	728.189355711268	728.185852473029	728.192166932949	311.143570636717	310.035447480812	312.100641389947	50	35	15	0		[2M+Na]+ 352.598	76													
M729T829_1	M728.5016T829_1	728.501556761309	728.497644511883	728.502654464432	829.000831863936	828.059136676855	831.664489810158	43	33	10	0	[1904][M]2+		1329													
M729T943	M728.5157T943	728.515668276969	728.511637387244	728.516812270651	942.808533112051	940.868501830017	943.789319101792	39	28	11	0			2713													
M729T362_1	M728.9912T362_1	728.991188107255	728.988007801444	728.992983911647	362.306979277915	361.406133291292	363.000390278178	46	28	18	0			82													
M729T829_2	M729.0033T829_2	729.003312909301	728.99964041065	729.004905222956	828.919278968738	827.324119349022	830.381777868748	40	30	10	0	[1904][M+1]2+		1330													
M729T51	M729.175T51	729.174978487194	729.170962745854	729.176644855007	50.6587574102859	50.0006442780431	51.1405455463462	41	24	17	0	[1903][M+1]+		446													
M729T362_2	M729.1916T362_2	729.19159766802	729.188490949761	729.193787352851	362.267991086591	360.848021954071	363.189948968866	48	33	15	0		[M+K]+ 690.236 [M+Na]+ 706.194	82													
M729T362_3	M729.3918T362_3	729.391759794151	729.388350501898	729.394038977599	362.41700984875	361.422016394468	363.681760688596	31	22	9	0		[2M+K]+ 345.208	82													
M730T357_1	M729.7771T357_1	729.77713114682	729.77342376297	729.77946797033	356.988923760067	355.984237935177	357.832440789342	53	35	18	0	[1905][M]2+		82													
M730T357_2	M729.9023T357_2	729.902324044402	729.898697320332	729.904512116672	357.048328198701	356.131901689933	358.226758541085	61	42	19	0	[1906][M]2+		82													
M730T357_3	M730.0277T357_3	730.027702097057	730.023364192097	730.029642028539	356.953276353935	356.055563957918	357.832634809369	59	40	19	0			82													
M730T357_4	M730.153T357_4	730.152978412098	730.148947216128	730.155889673967	356.816571112549	350.549077553908	358.242901801496	57	39	18	0		[M+H+HCOOH]+ 683.136	82													
M730T885	M730.2497T885	730.249697979541	730.245820097247	730.251793631509	885.469080650686	884.954619410712	886.425978883925	65	41	21	3	[1907][M]+		2638													
M730T357_5	M730.2781T357_5	730.278128951277	730.273574775289	730.28084104932	356.829187662569	356.096327184131	357.832634809369	59	40	19	0	[1905][M+1]2+		82													
M730T357_6	M730.4032T357_6	730.403234541335	730.398795633032	730.406502123541	356.883466686784	355.929188244256	358.226758541085	40	29	11	0	[1906][M+1]2+		82													
M731T353_1	M730.5563T353_1	730.556321864195	730.553822805397	730.559957397138	352.783162107598	351.874886941098	354.290430051284	39	27	12	0			3323													
M731T353_2	M730.6486T353_2	730.648647906358	730.643662460049	730.651484590721	353.368483314396	352.069726174645	354.962473113832	54	37	17	0		[M+Na+CF3COOH]+ 573.653	84													
M731T44	M730.7229T44	730.722888561544	730.719785395973	730.724900066205	43.7537365468779	43.3688430940947	44.2420679994307	36	26	10	0			447													
M731T353_3	M730.7397T353_3	730.739660821065	730.734619871616	730.741439602184	353.228092363748	352.236180830971	354.021986741707	51	34	17	0		[M+H+CF3COOH]+ 595.724	84													
M731T353_4	M730.8305T353_4	730.830486811354	730.827295487794	730.832721566001	353.194265392906	352.152749686405	354.156109015759	50	33	17	0		[M+Na]+ 707.835	84													
M731T353_5	M730.9216T353_5	730.921648850511	730.91817948701	730.924369122193	353.091812255425	352.120780781996	354.135339744999	47	33	14	0			84													
M731T353_6	M731.0126T353_6	731.012639307484	731.008467407459	731.016931494958	352.9417686592	352.191077608219	354.746862684699	33	25	8	0		[M+K+NaCOOH]+ 624.063 [M+Na+NaCOOH]+ 640.037 [M+Na+HCOOH]+ 662.019	84													
M731T886	M731.2499T886	731.249907387803	731.246765750858	731.252505583861	885.590446694605	884.934347538231	886.425978883925	56	34	19	3	[1907][M+1]+		2639													
M732T653	M731.5177T653	731.517693863096	731.514307949404	731.51975402493	652.709895551853	652.098466445852	653.373755751335	33	17	16	0		[M+H]+ 730.512	17													
M732T886	M732.2475T886	732.247479472015	732.243963112732	732.249853825184	885.590446694605	884.934347538231	886.425978883925	44	24	17	3	[1907][M+2]+		2640													
M733T703	M732.5574T703	732.557445880477	732.554117903522	732.55953836027	703.010641211731	685.826108737065	719.329711329168	35	11	13	3			555													
M733T747	M732.5576T747	732.557605413402	732.555729567694	732.559485583607	747.256349160947	735.310604395712	758.176725572554	23	6	11	2		[M+Na+HCOOH]+ 663.572 [M+Na]+ 709.561	22													
M733T886	M733.2472T886	733.247158476998	733.243874604917	733.249430356356	885.574816755034	884.954619410712	886.0515436103	23	10	10	3	[1907][M+3]+		2629													
M734T505	M734.2757T505	734.275672026596	734.2709326766	734.276851544633	505.338366588479	504.928515636993	505.741982811199	9	0	6	3	[1908][M]+	[M+H]+ 733.266	19													
M734T266	M734.3068T266	734.306826146177	734.302713606845	734.307855728629	266.30801411393	265.77229214541	266.725172480558	32	20	12	0			3202													
M734T419	M734.473T419	734.473041604123	734.468285793005	734.474877198657	418.753283713783	417.807065734296	419.200637008466	13	2	8	3			52													
M735T698	M734.5732T698	734.57324660234	734.570361882097	734.575322049512	698.371736962317	685.297994388104	712.495994490215	40	20	13	2		[M+Na]+ 711.572	29													
M735T741	M734.5731T741	734.573066564572	734.57101779574	734.575306146357	740.895193154124	725.518039654752	754.884138984812	32	11	11	1	[1909][M]+		1225													
M735T440	M734.6689T440	734.66889176655	734.664296101875	734.67133421981	440.186251463045	435.659582457813	447.807120142283	31	19	12	0			1194													
M735T366_1	M734.7262T366_1	734.726189741018	734.722034511526	734.727667116722	365.799478573522	365.234419250331	366.617310064323	37	26	11	0			3826													
M735T366_2	M734.8937T366_2	734.893691576943	734.888549809615	734.895072380711	365.720713890017	365.003659839731	366.525873352972	45	33	12	0			3826													
M735T366_3	M735.0601T366_3	735.060082155588	735.056327900222	735.062092604446	365.873576397339	365.134128418952	366.834962271327	40	27	13	0		[M+H+NH3]+ 717.027	3826													
M735T505	M735.2789T505	735.278887727537	735.273543102889	735.280314041162	505.230947223805	504.769948367858	505.744679761911	9	0	6	3	[1908][M+1]+		19													
M735T129	M735.3092T129	735.309225371552	735.305551278833	735.311211742256	129.33331883472	127.429463790573	132.185378966884	45	32	13	0		[2M+2K-H]+ 329.193 [M+K]+ 696.343 [M+Na]+ 712.319	81													
M735T347_1	M735.3217T347_1	735.321739796403	735.318275970078	735.324369183438	347.200724214817	345.950137437593	348.561137827107	31	24	7	0		[2M+Na+K-H]+ 337.179	60													
M735T347_2	M735.3673T347_2	735.367317924495	735.363289436544	735.372749272123	347.372544165684	334.02500213368	357.122032780977	40	28	12	0			60													
M735T347_3	M735.4123T347_3	735.412349632743	735.408262052828	735.415768136719	347.273979142209	346.070445712069	357.449996738609	37	29	8	0		[3M+2Na]2+ 474.956	60													
M735T347_4	M735.458T347_4	735.458038648964	735.453529509077	735.461154978554	347.373899924036	346.369882483583	348.572554519868	46	35	11	0		[3M+2K]2+ 464.332	60													
M736T347_1	M735.5034T347_1	735.503422074624	735.499038403812	735.507579179805	347.479134235943	346.167799179274	348.482289850099	42	30	12	0		[M+K]+ 696.541 [M+H]+ 734.499 [M+H-C6H8O6]+ 910.532	60													
M736T347_2	M735.5488T347_2	735.548818957362	735.544000961988	735.552179385755	347.425447522764	346.513744221393	349.413425562172	46	32	14	0		[M+H-C6H10O4]+ 880.606	60													
M736T699	M735.5764T699	735.576417584896	735.573881887356	735.578605727825	698.943926883018	686.991131022439	720.301608846667	31	14	11	2			556													
M736T739	M735.5768T739	735.576811903619	735.574448821121	735.57858884582	739.309612301143	721.90288777865	752.015290062513	25	8	11	2	[1909][M+1]+		1227													
M736T347_3	M735.5941T347_3	735.594080007121	735.590311703684	735.597267337009	347.314295339934	346.070445712069	348.584659082819	40	30	10	0			60													
M736T347_4	M735.6399T347_4	735.639908499164	735.635051277321	735.642812264223	347.221278945987	345.55142600359	357.449996738609	35	25	10	0		[M+H]+ 734.636	60													
M736T335	M735.7098T335	735.709798799989	735.706809552562	735.712544519718	334.749546850479	333.38021411671	335.380374824398	31	24	7	0		[M+Na]+ 712.715	85													
