variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M270T80_1	M270.1355T80_1	270.135527025298	270.135118544497	270.136546075183	79.9984859872334	78.9400932060438	92.1045577709908	4	1	0	3	[331][M+1]-		346													
M270T80_2	M270.2166T80_2	270.216611112674	270.216187089786	270.217006284018	79.5590515614298	78.9400932060438	81.4338364699112	4	1	0	3	[332][M+1]-		347													
M270T1208	M270.2522T1208	270.252151869536	270.251682982887	270.253006696221	1207.62320769285	1205.15723694902	1208.55870399151	65	41	21	3	[333][M+1]-		38													
M271T914	M270.8936T914	270.893556995998	270.893167034984	270.894376715635	913.953223379644	906.784721185241	928.68819834546	30	18	9	3			1313													
M271T605	M270.9259T605	270.925940930924	270.925821511314	270.926784911804	604.946251530844	604.20997283088	607.241576193338	3	0	0	3			1129													
M271T454	M271.0042T454	271.004213801618	271.003704234348	271.005144571099	453.938314484185	448.274861943681	462.874760798054	62	40	21	0		[2M-2H+Na]- 125.015	2													
M271T205	M271.0212T205	271.021211964769	271.020919273325	271.022115654788	204.906293772167	201.781397492877	210.805244427684	30	15	15	0			601													
M271T507	M271.0233T507	271.023285331836	271.022858375657	271.024307180183	507.388756467092	506.285128233043	508.441892836007	47	27	20	0		[M-H-CH3]- 287.066	20													
M271T583	M271.0575T583	271.057532748212	271.057120529453	271.05858005192	583.148482303096	582.417798893053	584.302331655577	63	42	21	0			13													
M271T106	M271.0616T106	271.061584506234	271.061242464313	271.062641535823	105.926211597972	104.644071023086	108.671424010913	47	27	20	0		[M+Cl]- 236.093	33	C15H12O5	272.0685	Naringenin;(S)-naringenin	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1	FTVWIRXFELQLPI-ZDUSSCGKSA-N	CID439246	CHEBI:17846	HMDB02670	C00509	Biosynthesis of other secondary metabolites	Others	Others	101_Naringenin_M-H_Mono_271.0612_109.3_TRUE
M271T423	M271.0675T423	271.067457354134	271.06713621005	271.06841966222	422.755350753799	421.399486760978	423.591723456197	63	42	21	0		[M+Cl+HCOOH]- 190.092	8													
M271T264	M271.07T264	271.069993384636	271.069535834411	271.070985286236	264.413168510075	261.441136317893	268.320489152797	63	42	21	0	[337][M]-	[M-H]- 272.076	1													
M271T455	M271.1143T455	271.11430874989	271.114191522509	271.115126750465	454.610622516546	453.766376934141	455.259503720867	3	0	0	3	[334][M+1]-		302													
M271T445	M271.123T445	271.123041972794	271.122538922941	271.124001296291	444.621538180964	443.065632228912	445.742624048117	62	41	21	0	[335][M+1]-		5													
