variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	QC	Blanc	Bio	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M181T448	M181.072T448	181.072044131723	181.07175977535	181.072536297878	448.350229633357	447.719593058405	467.980540468006	67	24	0	42	[163][M]-		8													
M181T238	M181.0719T238	181.071877601205	181.071587174459	181.072310771027	237.998105497599	235.594196991614	241.769577677552	65	23	0	42			7													
M181T85	M181.1236T85	181.12363282768	181.123306848145	181.124026064163	84.5468507640194	82.7785584516836	85.5312559809344	46	24	0	22			558													
M182T1025	M181.9476T1025	181.947636538535	181.947371527076	181.947956386528	1024.74749192355	1023.04874289073	1027.66454938801	58	16	0	42			24													
M182T450	M181.9663T450	181.966324106161	181.966081427168	181.966734440563	449.816420046466	441.036797434546	452.477793631106	58	19	0	39			67													
M182T167	M181.9954T167	181.995362942637	181.99507713024	181.995723238415	167.475422618793	165.96371464544	169.121498890581	63	21	0	42		[M-H-C6H8O6]- 359.05	46													
M182T568	M182.0132T568	182.013165128402	182.012826990441	182.013549078531	567.878477726925	566.432733668594	569.400981411286	55	18	0	37		[M-2H+Na]- 161.027 [M-H-CO2]- 227.01	282													
M182T285	M182.0131T285	182.01305889802	182.012789038254	182.013451632473	284.849317087779	275.62871873593	290.306303074367	39	20	0	19		[M-H+NaCOOH]- 115.042	12													
M182T87	M182.0094T87	182.009438132827	182.009356106648	182.009711525118	87.4380027238753	86.8522175132483	90.7628309012387	3	0	3	0			197													
M182T444	M182.0322T444	182.032217658598	182.031918776322	182.032619916455	444.260779541193	425.30116990612	448.564219188637	66	24	0	42		[M-H-COCH2]- 225.06	8													
M182T96	M182.0462T96	182.046156423199	182.045890709472	182.046437443219	95.7398767225477	94.8290736106019	96.9891733725142	66	24	0	42	[164][M]-	[M+Cl+HCOOH]- 101.073	22													
M182T206	M182.0542T206	182.054175982391	182.053906828222	182.054519903205	206.221994449215	205.053622051777	207.406778717418	66	24	0	42	[162][M+1]-		39													
M182T325	M182.0572T325	182.057184792418	182.056962717095	182.057570089494	324.736737979324	321.961256509113	329.007217173011	66	24	0	42	[161][M+2]-		21													
M182T101	M182.061T101	182.061028983313	182.060542370525	182.063444620063	101.039040358347	90.726128250742	104.900746356784	67	24	3	39		[M-H+Cl]2- 330.163	5													
