variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	QC	Blanc	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	inchi	inchikey	pubchem	chebi	hmdb	kegg	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	spi_annot
M223T290	M222.5416T290	222.541638958752	222.539935361076	222.542344644604	289.612244400705	288.56300699392	291.133140639854	38	22	15	1			6279													
M223T163_3	M222.5379T163_3	222.537883089993	222.533914245965	222.543717473983	162.651038026058	159.42721915422	164.213198813581	28	16	11	1		[M+Na+NH3]+ 182.514	12													
M223T163_4	M222.5481T163_4	222.548144572779	222.543803762532	222.553013136093	162.833869491456	159.761998096248	164.870832080414	39	28	11	0			12													
M223T163_5	M222.5642T163_5	222.564245709941	222.558908017163	222.568738962298	162.851465678447	159.790605165088	164.870832080414	37	27	9	1		[M+H+NH3]+ 204.534	12													
M223T163_6	M222.5786T163_6	222.578597464187	222.573803446114	222.583473913723	162.788924798539	159.915813043987	164.870832080414	36	24	11	1			12													
M223T163_7	M222.5932T163_7	222.593235339315	222.588989375472	222.598013962923	162.821280749915	158.939617844183	164.197425162202	33	20	13	0			12													
M223T163_8	M222.6037T163_8	222.603651824262	222.598746867325	222.608196177986	162.754143969256	160.254863707863	164.870832080414	34	23	10	1			12													
M223T163_9	M222.6188T163_9	222.618754207735	222.613754222436	222.623735588341	162.618036797179	159.98383405126	164.870832080414	36	23	12	1		[M+H]+ 221.616	12													
M223T163_10	M222.6331T163_10	222.633064876187	222.628897863772	222.637882820195	162.69472521956	159.915813043987	164.61134473799	32	23	8	1		[M+H]+ 221.616	12													
M223T163_11	M222.6438T163_11	222.643756213067	222.63887393979	222.648620511857	163.097465097029	157.810084969232	165.368864596824	38	22	15	1			12													
M223T163_12	M222.6538T163_12	222.653757965325	222.64943297438	222.65838667533	162.779503203496	159.664287387443	164.61134473799	32	22	9	1			12													
M223T163_13	M222.664T163_13	222.663987155882	222.659448257495	222.667362805855	162.913734067617	159.42721915422	164.870832080414	40	28	11	1			12													
M223T163_14	M222.6826T163_14	222.682570482895	222.678765604381	222.688620631147	162.827575120685	159.179635535362	164.870832080414	36	25	11	0			12													
M223T163_15	M222.6986T163_15	222.698627245294	222.693895273128	222.703325098947	162.877245757571	157.810084969232	164.34887987432	36	24	11	1		[M+H]+ 221.7	12													
